"username","Routename","Price","RouteType","servername"
"dplusind","TRANS","0.20500","1","displusindia"
"dplusind","promo","0.20500","0","displusindia"
"dplusind","promo1","0.19000","0","displusindia"
"disakhilesh","promo","0.30000","0","displusindia"
"disakhilesh","TRANS","0.20500","1","displusindia"
"disakhilesh","TRANS2","0.30500","1","displusindia"
"ddplusind","promo1","0.30000","0","displusindia"
"ddplusind","TRANSt","0.20500","1","displusindia"
"ddplusind","promo12","0.30000","0","displusindia"
"ddplusind","TRANS2","0.27500","1","displusindia"
"indiasupport","promoac02","0.30000","0","displusindia"
"indiasupport","transac2","0.08700","1","displusindia"
"bulksmswaala","Promotional","0.09000","0","displusindia"
"bulksmswaala","Transactonal","0.09000","1","displusindia"
"razidistt","TRANS","0.08350","1","displusindia"
"razidistt","PROMO","0.08350","0","displusindia"
"smseasydist","PROMO","0.08250","0","displusindia"
"smseasydist","TRANS","0.08250","1","displusindia"
"ksmsdist","PROMO","0.09000","0","displusindia"
"ksmsdist","TRANS","0.09000","1","displusindia"
"octodist","PROMO","0.10000","0","displusindia"
"octodist","TRANS","0.10000","1","displusindia"
"dissplusind","tewst","0.30000","0","displusindia"
"greenglobaltdis","PROMO","0.09500","0","displusindia"
"greenglobaltdis","TRANS","0.09500","1","displusindia"
"indiasmsdis","PROMO","0.10000","0","displusindia"
"indiasmsdis","TRANS","0.10000","1","displusindia"
"ihantedis","PROMO","0.09000","0","displusindia"
"ihantedis","TRANS","0.09000","1","displusindia"
"sayadis","PROMO","0.08500","0","displusindia"
"sayadis","TRANS","0.08500","1","displusindia"
"bluewavdis","PROMO","0.08500","0","displusindia"
"bluewavdis","TRANS","0.08500","1","displusindia"
"bulkmsgdis","PROMO","0.08250","0","displusindia"
"bulkmsgdis","TRANS","0.08250","1","displusindia"
"planetdis","Loop","0.20000","1","displusindia"
"dplusind2","promo","0.10500","0","displusindia"
"glittersms","loop Mum","0.11000","1","displusindia"
"glittersms","loop Mump","0.11000","0","displusindia"
"stardis","PROMO","0.20000","0","displusindia"
"stardis","TRANS","0.20000","1","displusindia"
"haryanasms","loop Mum","0.25000","0","displusindia"
"smspaneltp","PROMO","0.10000","0","displusindia"
"smspaneltp","TRANS","0.10000","1","displusindia"
"crystt","PROMO1","0.11000","0","displusindia"
"crystt","trans1","0.11000","1","displusindia"
"krishnadis","PROMO1","0.14000","0","displusindia"
"krishnadis","trans1","0.14000","1","displusindia"
"shridis","PROMO","0.20000","0","displusindia"
